description,locationCode,rentalBikes,fetchTime,type,open
Heiloo,hlo001,12,1714698447,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,193,1714698447,OV_FIETS,Yes
Purmerend Overwhere,pmo001,1,1714698447,OV_FIETS,Yes
Lelystad Centrum,lls003,19,1714698447,OV_FIETS,No
Utrecht Centraal Jaarbeursplein,ut016,347,1714698447,OV_FIETS,Yes
Zwolle Hanzeland,zl003,29,1714698447,OV_FIETS,No
Holten,hon001,5,1714698447,OV_FIETS,Yes
Wijhe,wh001,4,1714698447,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,6,1714698447,OV_FIETS,Yes
Zwolle,zl004,282,1714698447,OV_FIETS,No
Nijmegen,nm001,236,1714698447,OV_FIETS,No
Bovenkarspel-Grootebroek,bkg001,3,1714698447,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,28,1714698447,OV_FIETS,No
Zeist,db002,23,1714698447,OV_FIETS,Yes
Driebergen-Zeist,db001,130,1714698447,OV_FIETS,No
Echt,ec001,9,1714698447,OV_FIETS,Yes
Raalte,rat001,4,1714698447,OV_FIETS,Yes
Dalfsen,dl001,1,1714698447,OV_FIETS,Yes
Rotterdam Slinge,rtd904,8,1714698447,OV_FIETS,Yes
Boxmeer,Bmr001,16,1714698447,OV_FIETS,Yes
Pijnacker,rtd906,4,1714698447,OV_FIETS,Yes
Veenendaal Centrum,vndc002,3,1714698447,OV_FIETS,Yes
Nunspeet,Ns001,8,1714698447,OV_FIETS,Unknown
Maastricht Noord,mtn001,5,1714698447,OV_FIETS,Yes
Doetinchem de Huet,dtch001,10,1714698447,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,8,1714698447,OV_FIETS,Yes
Delden,ddn001,4,1714698447,OV_FIETS,Yes
Muiden P&R,wp901,8,1714698447,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,7,1714698447,OV_FIETS,Yes
Hengelo Gezondheidspark,hglg001,8,1714698447,OV_FIETS,Yes
Bodegraven,bdg001,7,1714698447,OV_FIETS,Yes
Utrecht Overvecht,uto001,10,1714698447,OV_FIETS,No
Soestdijk,sd001,4,1714698447,OV_FIETS,Yes
Delft Zuid,dtz001,,1714698447,OV_FIETS,Yes
Vught,Vg001,10,1714698447,OV_FIETS,Yes
Amsterdam Zuid Zuidplein,asdz001,208,1714698447,OV_FIETS,No
Heemskerk,hk001,4,1714698447,OV_FIETS,Yes
Amsterdam Zuid Mahlerplein,asdz003,103,1714698447,OV_FIETS,No
Utrecht Vaartsche Rijn Oosterkade,UTVR002,0,1700488276,OV_FIETS,Yes
Utrecht Zuilen,utzl001,4,1714698447,OV_FIETS,Yes
Alphen aan den Rijn,apn001,40,1714698447,OV_FIETS,No
Rotterdam Blaak,rtb001,9,1714698447,OV_FIETS,No
Vriezenveen,vz001,3,1714698447,OV_FIETS,Yes
Zwijndrecht,zwd003,25,1714698447,OV_FIETS,No
Eindhoven OV-fiets PopUp (naast AH),ehv004,34,1698620813,OV_FIETS,Yes
Eindhoven Noordzijde,ehv003,23,1714698447,OV_FIETS,No
Eindhoven Zuidzijde (centrum),ehv002,91,1714698447,OV_FIETS,No
Winschoten,ws001,5,1714698447,OV_FIETS,Yes
Overveen,ovn001,3,1714698447,OV_FIETS,Yes
Veghel,Btl003,8,1714698447,OV_FIETS,Yes
Naarden-Bussum,ndb003,63,1714698447,OV_FIETS,No
Woerden,wd001,46,1714698447,OV_FIETS,No
s-Hertogenbosch,ht001,266,1714698447,OV_FIETS,No
Baarn,brn002,31,1714698447,OV_FIETS,No
Waalwijk,ht002,7,1714698447,OV_FIETS,Yes
Kerkrade Centrum,krd001,3,1714698447,OV_FIETS,Yes
Veenendaal West,vndw001,10,1714698447,OV_FIETS,Yes
Aalten,atn001,6,1714698447,OV_FIETS,Yes
Haarlem Fiets Inn,hlm002,239,1714698447,OV_FIETS,No
Bilthoven,bhv002,30,1714698447,OV_FIETS,No
Purmerend,pmr001,3,1714698447,OV_FIETS,Yes
Hardenberg,hdb001,5,1714698447,OV_FIETS,Yes
Utrecht Centraal Knoop,ut021,188,1714698447,OV_FIETS,No
Beverwijk,bv002,54,1714698447,OV_FIETS,No
Boxtel,btl001,20,1714698447,OV_FIETS,No
Hoogezand Sappemeer,Hgz001,9,1714698447,OV_FIETS,Yes
Santpoort Noord,sptn001,8,1714698447,OV_FIETS,Yes
Amersfoort Vathorst,avat001,1,1714698447,OV_FIETS,Yes
Roermond,rm001,52,1714698447,OV_FIETS,No
Krommenie-Assendelft,kma001,4,1714698447,OV_FIETS,Yes
Heerlen,hrl002,26,1714698447,OV_FIETS,No
Rosmalen,rs001,7,1714698447,OV_FIETS,Yes
Vianen OV-fiets ,ut905,16,1714698447,OV_FIETS,Yes
Utrecht P+R Papendorp,ut904,4,1714698447,OV_FIETS,Yes
P + R Utrecht Science Park (De Uithof),ut906,8,1714698447,OV_FIETS,Yes
Arnhem Centrum,ah001,295,1714698447,OV_FIETS,No
Hoofddorp,hfd002,56,1714698447,OV_FIETS,No
Alkmaar,amr001,120,1714698447,OV_FIETS,No
Schagen,sgn001,7,1714698447,OV_FIETS,Yes
Rotterdam Centraal,rtd001,529,1714698447,OV_FIETS,Yes
Tilburg West Universiteit,tbu001,11,1714698447,OV_FIETS,Yes
Gouda Goverwelle,gdg001,5,1714698447,OV_FIETS,Yes
Den Haag Laan van NOI,laa001,1,1714698447,OV_FIETS,Yes
"Delft, Fietsenstalling",dt002,206,1714698447,OV_FIETS,Yes
Uitgeest,utg001,0,1714698447,OV_FIETS,Yes
Den Helder,hdr002,33,1714698447,OV_FIETS,No
Alkmaar Noord,amrn002,32,1714698447,OV_FIETS,No
Nootdorp,gvc901,4,1714698447,OV_FIETS,Yes
Houten,htn001,56,1714698447,OV_FIETS,No
Steenwijk,swk002,7,1714698447,OV_FIETS,No
Hoogeveen,hgv003,34,1714698447,OV_FIETS,No
Zutphen,zp001,84,1714698447,OV_FIETS,No
Breda Centrum,Bd003,119,1714698447,OV_FIETS,No
Den Haag Mariahoeve,gvm001,0,1714698447,OV_FIETS,Yes
Venray,vry001,24,1714698447,OV_FIETS,Yes
Barneveld Noord,bnn001,5,1714698447,OV_FIETS,Yes
Zaltbommel,zbm002,32,1714698447,OV_FIETS,No
Schiedam,sdm001,16,1714698447,OV_FIETS,No
Zoetermeer Centrum West,ztm002,,1714698447,OV_FIETS,No
Borne,bn001,7,1714698447,OV_FIETS,Yes
Zevenbergen,Zvb001,7,1714698447,OV_FIETS,Yes
Driehuis,drh001,8,1714698447,OV_FIETS,Yes
Helmond Brouwhuis,hmbh001,1,1714698447,OV_FIETS,Yes
Nijmegen Heyendaal,nmh001,2,1714698447,OV_FIETS,Yes
Barendrecht,brd002,27,1714698447,OV_FIETS,No
Rheden,rh001,3,1714698447,OV_FIETS,Yes
Den Haag Centraal Koningin Julianaplein,gvc021,0,1695722302,OV_FIETS,Yes
Breda Belcrum,bd002,211,1714698447,OV_FIETS,No
Amsterdam Centraal IJzijde,asd008,320,1714698447,OV_FIETS,No
Amsterdam Noord,asd009,15,1714698447,OV_FIETS,No
Obdam,obd001,5,1714698447,OV_FIETS,Yes
Tiel,tl003,25,1714698447,OV_FIETS,No
OV-ebike Groningen,gn004,12,1714698447,OV_FIETS,No
Oss West,ow001,6,1714698447,OV_FIETS,Yes
Groningen,gn001,472,1714698447,OV_FIETS,No
Emmen,emn001,17,1714698447,OV_FIETS,No
Utrecht Lunetten,utl001,3,1714698447,OV_FIETS,Yes
Zandvoort,zvt001,21,1714698447,OV_FIETS,Yes
OV-fiets - Maastricht,mt001,136,1714698447,OV_FIETS,No
OV-ebike Maastricht,mt003,13,1714698447,OV_FIETS,No
Putten,pt001,4,1714698447,OV_FIETS,Yes
Heerenveen,hr002,,1714698447,OV_FIETS,No
Kampen,kpn003,28,1714698447,OV_FIETS,No
Veendam,Vdm001,9,1714698447,OV_FIETS,Yes
Didam,did001,6,1714698447,OV_FIETS,Yes
Gouda,gd001,123,1714698447,OV_FIETS,No
Heemstede-Aerdenhout,had002,27,1714698447,OV_FIETS,No
Rotterdam Fietspunt Wilhelminakade Prinsendam,Rtd003,13,1714698447,OV_FIETS,Yes
Rotterdam Fietspunt Marconiplein,Rtd004,5,1714698447,OV_FIETS,Yes
Enkhuizen,ekz001,18,1714698447,OV_FIETS,Unknown
Hellendoorn/Nijverdal OV-fiets Carrousel,nvd001,20,1714698447,OV_FIETS,Yes
Horst Sevenum,hrt001,2,1714698447,OV_FIETS,Yes
Goor,go001,3,1714698447,OV_FIETS,Yes
Sleeuwijk Tol West,GR002 ,3,1714698447,OV_FIETS,Yes
Barneveld Centrum,bnc001,3,1714698447,OV_FIETS,Yes
Zoetermeer Oost,ztmo001,2,1714698447,OV_FIETS,Yes
Oisterwijk,Ot001,6,1714698447,OV_FIETS,Yes
Duivendrecht,dvd001,1,1714698447,OV_FIETS,Yes
Helmond 't Hout,hmh001,4,1714698447,OV_FIETS,Yes
Dronten,DRON001,4,1714698447,OV_FIETS,Yes
Pijnacker Zuid,rtd907,3,1714698447,OV_FIETS,Yes
Utrecht Leidsche Rijn,utlr001,3,1714698447,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb002,26,1714698447,OV_FIETS,No
Sittard,std002,28,1714698447,OV_FIETS,No
Diemen,dmn001,2,1714698447,OV_FIETS,Yes
Amsterdam Centraal Stationsplein,asd010,195,1714698447,OV_FIETS,Yes
Zevenaar,zv001,6,1714698447,OV_FIETS,Yes
Hoogkarspel,hks001,2,1714698447,OV_FIETS,Yes
Westervoort,wtv001,10,1714698447,OV_FIETS,Yes
Bussum Zuid,bsmz001,2,1714698447,OV_FIETS,Yes
Amsterdam RAI,rai001,21,1714698447,OV_FIETS,No
Velp,vp001,5,1714698447,OV_FIETS,Yes
Leeuwarden,lw001,148,1714698447,OV_FIETS,No
Bunnik,bnk001,18,1714698447,OV_FIETS,Yes
Meppel,mp002,14,1714698447,OV_FIETS,No
Amsterdam Amstel,asa001,110,1714698447,OV_FIETS,No
Weert,wt003,25,1714698447,OV_FIETS,No
Ede-Wageningen Zuidzijde,ed001,172,1710712243,OV_FIETS,Yes
Oss,o002,26,1714698447,OV_FIETS,No
Delfzijl,Dz001,5,1714698447,OV_FIETS,Yes
Otterlo,ed901,19,1714698447,OV_FIETS,Yes
Winsum,Wsm001,3,1714698447,OV_FIETS,Yes
Schiphol,shl001,3,1714698447,OV_FIETS,Yes
Geldermalsen,gdm001,2,1714698447,OV_FIETS,Yes
Amsterdam Centraal Oost,asd002,211,1714698447,OV_FIETS,No
Vleuten,vtn001,0,1714698447,OV_FIETS,Yes
Hilversum,hvs001,229,1714698447,OV_FIETS,No
't Harde,Hde001,14,1714698447,OV_FIETS,Yes
Duiven ,dvn001,19,1714698447,OV_FIETS,Yes
Terborg,tbg001,4,1714698447,OV_FIETS,Yes
Den Haag Centraal Stichthage,gvc001,589,1714698447,OV_FIETS,No
Varsseveld,vsv001,3,1714698447,OV_FIETS,Yes
Santpoort Zuid,sptz001,5,1714698447,OV_FIETS,Yes
Tilburg Zuid,tb003,227,1714698447,OV_FIETS,No
Tilburg Noord,tb002,33,1714698447,OV_FIETS,No
Breukelen,bkl001,5,1714698447,OV_FIETS,Yes
Leiden de Vink,dvnk001,2,1714698447,OV_FIETS,Yes
Beesd,bsd001,4,1714698447,OV_FIETS,Yes
Deurne,dn001,5,1714698447,OV_FIETS,Yes
Rhenen,rhn001,3,1714698447,OV_FIETS,Yes
Zoetermeer Driemanspolder,ztm003,19,1714698447,OV_FIETS,No
Landgraaf,lg001,5,1714698447,OV_FIETS,Yes
Heeze-Leende,hze001,6,1714698447,OV_FIETS,Yes
Hilversum Sportpark ,hvsp001,13,1714698447,OV_FIETS,No
Olst,ost001,,1714698447,OV_FIETS,Yes
Maarssen,mas003,36,1714698447,OV_FIETS,No
Amersfoort Mondriaanplein,amf002,68,1714698447,OV_FIETS,No
Ede-Wageningen Zuidzijde,ed004,158,1714698447,OV_FIETS,No
Amersfoort Centraal,amf001,332,1714698447,OV_FIETS,No
Hillegom,hil001,2,1714698447,OV_FIETS,Yes
Utrecht Centraal Stationsplein,ut020,768,1714698447,OV_FIETS,Yes
Almere Centrum Landdrostdreef,alm001,54,1714698447,OV_FIETS,No
Doetinchem,dtc001,4,1714698447,OV_FIETS,Yes
Zaandam,ZD002,40,1714698447,OV_FIETS,No
Beilen,bl001,17,1714698447,OV_FIETS,No
Den Dolder,dld001,2,1714698447,OV_FIETS,Yes
's-Hertogenbosch Oost,Hto001,6,1714698447,OV_FIETS,Yes
Assen,asn001,165,1714698447,OV_FIETS,No
Vlissingen,vs001,19,1714698447,OV_FIETS,No
Enschede,es003,49,1714698447,OV_FIETS,No
Helmond,hm001,24,1714698447,OV_FIETS,No
Amsterdam Lelyplein,asdl001,12,1714698447,OV_FIETS,No
Sliedrecht,sdt001,3,1714698447,OV_FIETS,Yes
Voorschoten,vst001,4,1714698447,OV_FIETS,Yes
Diemen Zuid,dmnz001,1,1714698447,OV_FIETS,Yes
Appingedam,Apg001,5,1714698447,OV_FIETS,Yes
Rotterdam Lombardijen,rlb001,2,1714698447,OV_FIETS,No
Reuver,rv001,6,1714698447,OV_FIETS,Yes
Utrecht Rijnsweerd,ut903,1,1714698447,OV_FIETS,Yes
Wijchen,wc001,6,1714698447,OV_FIETS,Yes
Elst,est001,7,1714698447,OV_FIETS,Yes
Apeldoorn,apd001,326,1714698447,OV_FIETS,No
Hengelo,hgl002,21,1714698447,OV_FIETS,No
Rijswijk,rsw002,28,1714698447,OV_FIETS,No
Middelburg,mdb002,26,1714698447,OV_FIETS,No
Ede-Wageningen Zuidplein,ed002,18,1706022071,OV_FIETS,Yes
