description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,7,1714575270,OV_FIETS,Yes
Brummen,bmn001,4,1714575270,OV_FIETS,Yes
Ermelo,eml001,3,1714575270,OV_FIETS,Unknown
Ravenstein,Rvs001,7,1714575270,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,72,1714575270,OV_FIETS,Yes
Nijmegen Goffert,nmgo001,2,1714575270,OV_FIETS,Yes
Lochem,lc001,1,1714575270,OV_FIETS,Yes
Bergen op Zoom,bgn002,6,1714575270,OV_FIETS,Yes
Oldenzaal,odz001,3,1714575270,OV_FIETS,Yes
Cuijk,ck001,16,1714575270,OV_FIETS,Yes
Veenendaal-De klomp,klp001,13,1714575270,OV_FIETS,Yes
Vroomshoop,vhp001,3,1714575270,OV_FIETS,Yes
Best,bet001,12,1714575270,OV_FIETS,Yes
Winterswijk,ww001,2,1714575270,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,11,1714575270,OV_FIETS,Yes
Zuidhorn,Zh001,8,1714575270,OV_FIETS,Yes
Houten Castellum,htnc001,29,1714575270,OV_FIETS,Yes
Voorhout,vh001,0,1714575270,OV_FIETS,Yes
Tilburg Reeshof,tbr001,4,1714575270,OV_FIETS,Yes
Harderwijk,hd001,31,1714575270,OV_FIETS,Yes
Utrecht P+R Westraven,ut007,13,1714575270,OV_FIETS,Yes
Den Haag HS,gv001,28,1714575270,OV_FIETS,Yes
Heerhugowaard,hwd003,16,1714575270,OV_FIETS,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,6,1714575270,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,18,1714575270,OV_FIETS,Yes
Uden,Ow002,6,1714575270,OV_FIETS,Yes
Deventer,dv001,84,1714575270,OV_FIETS,Yes
"Leiden Centraal, Centrumzijde",ledn002,14,1714575270,OV_FIETS,Yes
Helmond Brandevoort,hmbv001,4,1714575270,OV_FIETS,Yes
Den Helder Zuid,hdrz001,6,1714575270,OV_FIETS,Yes
Castricum,cas002,5,1714575270,OV_FIETS,Yes
Sneek,sk001,6,1714575270,OV_FIETS,Yes
Geldrop,Gp001,9,1714575270,OV_FIETS,Yes
Oudenbosch,odb001,3,1714575270,OV_FIETS,Yes
Anna Paulowna,ana001,0,1714575270,OV_FIETS,Yes
Goes,gs003,10,1714575270,OV_FIETS,Yes
Amersfoort Schothorst,amfs001,13,1714575270,OV_FIETS,Yes
Roosendaal,rsd002,29,1714575270,OV_FIETS,Yes
OV-ebike Arnhem Centrum,ah003,7,1714575270,OV_FIETS,Yes
Gilze Rijen,gz001,6,1714575270,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,4,1714575270,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,2,1714575270,OV_FIETS,Yes
Hoorn,hn001,38,1714575270,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,12,1714575270,OV_FIETS,Yes
Boskoop,bsk001,1,1714575270,OV_FIETS,Yes
Rijssen,rsn001,9,1714575270,OV_FIETS,Yes
Venlo,vl001,51,1714575270,OV_FIETS,Yes
Ommen,omn001,6,1714575270,OV_FIETS,Yes
Culemborg,cl003,18,1714575270,OV_FIETS,Yes
Groningen Noord,Gnn001,0,1714575270,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,3,1714575270,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,2,1714575270,OV_FIETS,Yes
Voorburg,vb002,28,1714575270,OV_FIETS,Yes
Soest Zuid,stz001,1,1714575270,OV_FIETS,Yes
Haren,HRN002,5,1714575270,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,11,1714575270,OV_FIETS,Yes
Maarheeze,mz001,0,1714575270,OV_FIETS,Yes
Maastricht Randwyck,mtr001,5,1714575270,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,15,1714575270,OV_FIETS,Yes
Dieren,dr001,3,1714575270,OV_FIETS,Yes
Wolfheze,wf001,1,1714575270,OV_FIETS,Yes
Meerssen,mes001,2,1714575270,OV_FIETS,Yes
Dordrecht,ddr001,23,1714575270,OV_FIETS,Yes
Maassluis,mss001,5,1714575270,OV_FIETS,Yes
Weesp,wp001,21,1714575270,OV_FIETS,Yes
Vierlingsbeek,vlb001,6,1714575270,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,62,1714575270,OV_FIETS,Yes
Gorinchem,gr001,2,1714575270,OV_FIETS,Yes
Rotterdam Alexander,rta001,0,1714575270,OV_FIETS,Yes
Valkenburg,vk001,3,1714575270,OV_FIETS,Yes
Almelo,aml002,11,1714575270,OV_FIETS,Yes
Bloemendaal,bll001,1,1714575270,OV_FIETS,Yes
Etten-Leur,etn001,4,1714575270,OV_FIETS,Yes
Heiloo,hlo001,7,1714575270,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,40,1714575270,OV_FIETS,Yes
Purmerend Overwhere,pmo001,0,1714575270,OV_FIETS,Yes
Lelystad Centrum,lls003,10,1714575270,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,145,1714575270,OV_FIETS,Yes
Zwolle Hanzeland,zl003,19,1714575270,OV_FIETS,Yes
Holten,hon001,5,1714575270,OV_FIETS,Yes
Wijhe,wh001,4,1714575270,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,6,1714575270,OV_FIETS,Yes
Zwolle,zl004,231,1714575270,OV_FIETS,Yes
