description,locationCode,rentalBikes,fetchTime,open
Utrecht Terwijde,utt001,4,1688879297,Yes
Eindhoven Noordzijde,,86,1665662115,Yes
Brummen,bmn001,4,1688879297,Yes
Ermelo,eml001,1,1688879297,Unknown
Ravenstein,Rvs001,7,1688879297,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,54,1684854854,Yes
Bergen op Zoom,bgn001,19,1678694969,Yes
Lochem,lc001,5,1688879297,Yes
Schagen,sgn001,3,1688879297,Yes
Oldenzaal,odz001,1,1688879297,Yes
Cuijk,ck001,14,1688879297,Yes
Goes,gs003,11,1688879297,Yes
Vroomshoop,vhp001,4,1688879297,Yes
Best,bet001,17,1688879297,No
Winterswijk,ww001,0,1688879297,Yes
Amsterdam Bijlmer ArenA,asb003,15,1688879297,No
Utrecht Centraal Jaarbeursplein,ut016,293,1688879297,Yes
Zuidhorn,Zh001,7,1688879297,Yes
Soestdijk,sd001,2,1688879297,Yes
Utrecht Vaartsche Rijn Oosterkade,ut019,23,1683629913,Yes
Utrecht Janskerkhof,ut018,2,1688879297,Yes
Utrecht Vredenburg,ut006,29,1677604114,Yes
Harderwijk,hd001,31,1688879297,Yes
Zwijndrecht,zwd002,28,1675240492,Yes
Hengelo,hgl002,0,1688879297,Yes
Maarheeze,mz001,4,1688879297,Yes
Den Haag HS,gv001,27,1688879297,Yes
Heerhugowaard,hwd003,13,1688879297,Yes
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,8,1688879297,Yes
Deventer Boerhavelaan,dv003,16,1688879297,Yes
Uden,Ow002,6,1688879297,Yes
Deventer,dv001,25,1688879297,Yes
Steenwijk,swk001,10,1671526428,Yes
Helmond Brandevoort,hmbv001,3,1688879297,Yes
Den Helder Zuid,hdrz001,3,1688879297,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,123,1688879297,Yes
Sneek,sk001,0,1688879297,Yes
Geldrop,Gp001,2,1688879297,Yes
Oudenbosch,odb001,2,1688879297,Yes
Anna Paulowna,ana001,1,1688879297,Yes
Horst Sevenum,hrt001,2,1688879297,Yes
Amersfoort Schothorst,amfs001,21,1688879297,No
Roosendaal,rsd003,47,1678695411,Yes
Roosendaal,rsd002,47,1688879297,Yes
OV-ebike Arnhem Centrum,ah003,7,1688879297,Yes
Gilze Rijen,gz001,4,1688879297,Yes
Emmen,emn001,20,1688879297,No
Halfweg Zwanenburg,hwzb001,5,1688879297,Yes
Hoorn Kersenboogerd,hnk001,4,1688879297,Yes
Hoorn,hn001,42,1688879297,Yes
Rotterdam Kralingse Zoom,Rta003,12,1688879297,Yes
Rhenen,rhn001,1,1688879297,Yes
Rijssen,rsn001,4,1688879297,Yes
Venlo,vl001,41,1688879297,Yes
Ommen,omn001,0,1688879297,Yes
Culemborg,cl002,13,1677764847,Yes
Culemborg,cl003,16,1688879297,No
Groningen Noord,Gnn001,1,1688879297,Yes
Culemborg,cl001,,1638967434,Yes
Voorburg,vb001,28,1675153509,Yes
Eindhoven Strijp-S,ehs001,1,1688879297,Yes
Haarlem Spaarnwoude,hlms001,1,1688879297,Yes
Dordrecht,ddr001,16,1688879297,Yes
Soest Zuid,stz001,3,1688879297,Yes
Haren,HRN002,0,1688879297,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,12,1688879297,Yes
Utrecht P+R Westraven,ut007,9,1688879297,Yes
Maastricht Randwyck,mtr001,4,1688879297,Yes
Amsterdam Muiderpoort,asdm001,10,1688879297,Yes
Castricum,cas001,54,1667467212,Yes
Wolfheze,wf001,4,1688879297,Yes
Meerssen,mes001,2,1688879297,Yes
Maassluis,mss001,10,1688879297,No
Weesp,wp001,26,1688879297,No
Weert,wt003,7,1688879297,No
Vierlingsbeek,vlb001,5,1688879297,Yes
Amsterdam Sloterdijk,ass001,45,1688879297,Yes
Gorinchem,gr001,0,1688879297,Yes
Rotterdam Alexander,rta001,0,1688879297,Yes
Valkenburg,vk001,2,1688879297,Yes
Almelo,aml002,0,1688879297,Yes
