description,locationCode,rentalBikes,fetchTime,type,open
Utrecht Terwijde,utt001,1,1701492651,OV_FIETS,Yes
Brummen,bmn001,6,1701492651,OV_FIETS,Yes
Ermelo,eml001,5,1701492651,OV_FIETS,Unknown
Ravenstein,Rvs001,6,1701492651,OV_FIETS,Yes
Utrecht Vaartsche Rijn Oosterkade,UTVR001,64,1701492651,OV_FIETS,No
Nijmegen Goffert,nmgo001,3,1701492651,OV_FIETS,Yes
Lochem,lc001,3,1701492651,OV_FIETS,Yes
Bergen op Zoom,bgn002,17,1701492651,OV_FIETS,No
Oldenzaal,odz001,0,1701492651,OV_FIETS,Yes
Cuijk,ck001,14,1701492651,OV_FIETS,Yes
Veenendaal-De klomp,klp001,24,1701492651,OV_FIETS,Yes
Vroomshoop,vhp001,4,1701492651,OV_FIETS,Yes
Best,bet001,21,1701492651,OV_FIETS,No
Winterswijk,ww001,4,1701492651,OV_FIETS,Yes
Amsterdam Bijlmer ArenA,asb003,0,1695282760,OV_FIETS,Yes
Boxtel - Kluis,btl004,4,1701492651,OV_FIETS,Yes
Zuidhorn,Zh001,7,1701492651,OV_FIETS,Yes
Houten Castellum,htnc001,31,1701492651,OV_FIETS,No
Voorhout,vh001,4,1701492651,OV_FIETS,Yes
Tilburg Reeshof,tbr001,0,1701492651,OV_FIETS,Yes
Harderwijk,hd001,52,1701492651,OV_FIETS,No
Utrecht P+R Westraven,ut007,12,1701492651,OV_FIETS,Yes
Den Haag HS,gv001,23,1701492651,OV_FIETS,Yes
Heerhugowaard,hwd003,25,1701492651,OV_FIETS,No
Openbare fietsenstalling gemeente Groningen : Fietsenstalling Europapark,gerp002,2,1701492651,OV_FIETS,Yes
Deventer Boerhavelaan,dv003,19,1701492651,OV_FIETS,Yes
Uden,Ow002,5,1701492651,OV_FIETS,Yes
Deventer,dv001,112,1701492651,OV_FIETS,No
"Leiden Centraal, Centrumzijde",ledn002,41,1701492651,OV_FIETS,No
Helmond Brandevoort,hmbv001,4,1701492651,OV_FIETS,Yes
Den Helder Zuid,hdrz001,6,1701492651,OV_FIETS,Yes
Castricum,cas002,51,1701492651,OV_FIETS,Yes
Sneek,sk001,5,1701492651,OV_FIETS,Yes
Geldrop,Gp001,6,1701492651,OV_FIETS,Yes
Oudenbosch,odb001,2,1701492651,OV_FIETS,Yes
Anna Paulowna,ana001,0,1701492651,OV_FIETS,Yes
Goes,gs003,25,1701492651,OV_FIETS,No
Amersfoort Schothorst,amfs001,33,1701492651,OV_FIETS,No
Roosendaal,rsd002,54,1701492651,OV_FIETS,No
OV-ebike Arnhem Centrum,ah003,17,1701492651,OV_FIETS,Yes
Gilze Rijen,gz001,7,1701492651,OV_FIETS,Yes
Halfweg Zwanenburg,hwzb001,5,1701492651,OV_FIETS,Yes
Hoorn Kersenboogerd,hnk001,2,1701492651,OV_FIETS,Yes
Hoorn,hn001,50,1701492651,OV_FIETS,Yes
Rotterdam Kralingse Zoom,Rta003,18,1701492651,OV_FIETS,Yes
Boskoop,bsk001,2,1701492651,OV_FIETS,Yes
Rijssen,rsn001,4,1701492651,OV_FIETS,Yes
Venlo,vl001,47,1701492651,OV_FIETS,Yes
Ommen,omn001,3,1701492651,OV_FIETS,Yes
Culemborg,cl003,17,1701492651,OV_FIETS,No
Groningen Noord,Gnn001,0,1701492651,OV_FIETS,Yes
Eindhoven Strijp-S,ehs001,2,1701492651,OV_FIETS,Yes
Haarlem Spaarnwoude,hlms001,4,1701492651,OV_FIETS,Yes
Voorburg,vb002,27,1701492651,OV_FIETS,No
Soest Zuid,stz001,6,1701492651,OV_FIETS,Yes
Haren,HRN002,3,1701492651,OV_FIETS,Unknown
Hollandse Rading OV-fiets Carrousel,hor001,23,1701492651,OV_FIETS,Yes
Maarheeze,mz001,4,1701492651,OV_FIETS,Yes
Maastricht Randwyck,mtr001,2,1701492651,OV_FIETS,Yes
Amsterdam Muiderpoort,asdm001,16,1701492651,OV_FIETS,Yes
Dieren,dr001,6,1701492651,OV_FIETS,Yes
Wolfheze,wf001,1,1701492651,OV_FIETS,Yes
Meerssen,mes001,4,1701492651,OV_FIETS,Yes
Dordrecht,ddr001,54,1701492651,OV_FIETS,Yes
Maassluis,mss001,8,1701492651,OV_FIETS,No
Weesp,wp001,38,1701492651,OV_FIETS,No
Vierlingsbeek,vlb001,4,1701492651,OV_FIETS,Yes
Amsterdam Sloterdijk,ass001,93,1701492651,OV_FIETS,Yes
Gorinchem,gr001,5,1701492651,OV_FIETS,Yes
Rotterdam Alexander,rta001,3,1701492651,OV_FIETS,Yes
Valkenburg,vk001,6,1701492651,OV_FIETS,Yes
Almelo,aml002,18,1701492651,OV_FIETS,Yes
Bloemendaal,bll001,4,1701492651,OV_FIETS,Yes
Etten-Leur,etn001,2,1701492651,OV_FIETS,Yes
Heiloo,hlo001,9,1701492651,OV_FIETS,Yes
"Leiden Centraal,Uitgang LUMC",ledn001,274,1701492651,OV_FIETS,Yes
Purmerend Overwhere,pmo001,3,1701492651,OV_FIETS,Yes
Lelystad Centrum,lls003,13,1701492651,OV_FIETS,Yes
Utrecht Centraal Jaarbeursplein,ut016,387,1701492651,OV_FIETS,Yes
Zwolle Hanzeland,zl003,24,1701492651,OV_FIETS,No
Holten,hon001,7,1701492651,OV_FIETS,Yes
Wijhe,wh001,5,1701492651,OV_FIETS,Yes
Breda Prinsenbeek,bdpb001,7,1701492651,OV_FIETS,Yes
Zwolle,zl004,273,1701492651,OV_FIETS,No
Nijmegen,nm001,85,1701492651,OV_FIETS,Yes
Bovenkarspel-Grootebroek,bkg001,3,1701492651,OV_FIETS,Yes
OV-ebike Driebergen-Zeist,db003,23,1701492651,OV_FIETS,No
Zeist,db002,20,1701492651,OV_FIETS,Yes
Driebergen-Zeist,db001,134,1701492651,OV_FIETS,No
Echt,ec001,4,1701492651,OV_FIETS,Yes
Raalte,rat001,6,1701492651,OV_FIETS,Yes
Dalfsen,dl001,2,1701492651,OV_FIETS,Yes
Rotterdam Slinge,rtd904,6,1701492651,OV_FIETS,Yes
Boxmeer,Bmr001,15,1701492651,OV_FIETS,Yes
Pijnacker,rtd906,3,1701492651,OV_FIETS,Yes
Nunspeet,Ns001,3,1701492651,OV_FIETS,Unknown
Maastricht Noord,mtn001,5,1701492651,OV_FIETS,Yes
Doetinchem de Huet,dtch001,4,1701492651,OV_FIETS,Yes
Utrecht Janskerkhof,ut018,14,1701492651,OV_FIETS,Yes
Delden,ddn001,3,1701492651,OV_FIETS,Yes
Muiden P&R,wp901,7,1701492651,OV_FIETS,Yes
Lage Zwaluwe,Zlw001,7,1701492651,OV_FIETS,Yes
